Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Finland,Norway,Norway,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P530,Forwards
Indonesia,Jakarta,Jakarta,The countrys capital Jakarta is the worlds secondmost populous urban area,P150,Forwards
Northwest Territories,Saskatchewan,Saskatchewan,The Northwest Territories is bordered by Canadas two other territories Nunavut to the east and Yukon to the west and by the provinces of British Columbia Alberta and Saskatchewan to the south and may touch Manitoba at a quadripoint to the southeast,P47,Forwards
China,Tianjin,Tianjin,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Classical architecture,Architecture,architecture,Classical architecture usually denotes architecture which is more or less consciously derived from the principles of Greek and Roman architecture of classical antiquity or sometimes even more specifically from the works of the Roman architect Vitruvius,P279,Forwards
Arizona,New Mexico,New Mexico,Arizona shares the Four Corners region with Utah to the north Colorado to the northeast and New Mexico to the east its other neighboring states are Nevada and California to the west and the Mexican states of Sonora and Baja California to the south and southwest,P47,Backwards
Estonia,European Union,European Union,It has a population of 13160million and is one of the least populous members of the European Union the Eurozone the OECD the Schengen Area NATO and the United Nations Security Council,P150,Backwards
Maitreya Festival,Australia,Australia,The Maitreya Festival sometimes spelt Maitreyah festival is a large outdoor music festival held yearly in Melbourne Australia,P17,Forwards
Social sustainability,Sustainable development,sustainable development,Social sustainability is the least defined and least understood of the different ways of approaching sustainability and sustainable development,P361,Forwards
Bhutan,China,China,It is bordered by China to the north and India to the south,P47,Forwards
Institute for Environmental Solutions,Latvia,Latvia,Institute for Environmental Solutions IES is a nonprofit research organization in Latvia that utilizes airborne remote sensing technologies and creates multidisciplinary teams to design and develop innovative environmental solutions,P17,Forwards
Waitakere City,New Zealand,New Zealand,Waitākere City was a territorial authority in the western part of the urban area of Auckland New Zealand it was governed by the Waitākere City Council from 1989 to 2010,P17,Forwards
Child mortality,Mortality rate,mortality,Child mortality is the mortality of children under the age of five,P279,Forwards
Indonesia,Philippines,Philippines,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P47,Forwards
Tanzania,Menai Bay Conservation Area,Menai Bay Conservation Area,The Menai Bay Conservation Area is Zanzibars largest marine protected area,P17,Backwards
Ecology,Human ecology,human ecology,Ecology has practical applications in conservation biology wetland management natural resource management agroecology agriculture forestry agroforestry fisheries city planning urban ecology community health economics basic and applied science and human social interaction human ecology,P361,Backwards
Netherlands,Germany,Germany,In Europe the Netherlands consists of twelve provinces bordering Germany to the east Belgium to the south and the North Sea to the northwest with maritime borders in the North Sea with those countries and the United Kingdom,P530,Backwards
Indonesia,G20,G20,The country is a member of several multilateral organisations including the United Nations  World Trade Organization G20 and a founding member of the NonAligned Movement Association of Southeast Asian Nations East Asia Summit and the Organisation of Islamic Cooperation,P527,Backwards
Atlantic Ocean,Arctic Ocean,Arctic Ocean,As one component of the interconnected World Ocean it is connected in the north to the Arctic Ocean to the Pacific Ocean in the southwest the Indian Ocean in the southeast and the Southern Ocean in the south other definitions describe the Atlantic as extending southward to Antarctica,P527,Forwards
Sustainable Development Goals,Sustainable Development Goal 15,Life On Land,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Nigeria,Cameroon,Cameroon,It borders Niger in the north Chad in the northeast Cameroon in the east and Benin in the west,P47,Backwards
Togo,Ghana,Ghana,Togo ˈtoʊɡoʊ32listen officially the Togolese Republic French République togolaise is a country in West Africa bordered by Ghana to the west Benin to the east and Burkina Faso to the north,P530,Forwards
Angola,Brazil,Brazil,It is the secondlargest lusophone Portuguesespeaking country in both total area and population behind Brazil and it is the seventhlargest country in Africa bordered by Namibia to the south the Democratic Republic of the Congo to the north Zambia to the east and the Atlantic Ocean to the west,P530,Backwards
Ghana,Nana AkufoAddo,Nana AkufoAddo,Ethnic160groups  2010475 Akans166 MoleDagbon139 Ewe74 GaAdangbe59 Bassare57 Konkomba37 Guan25 Gurunsi22 Kusasi11 Bissa14 OtherReligion 712 Christianity—467 Protestantism—131 Catholicism—114 Other Christian176 Islam62 Traditional faiths41 No religion09 OtherDemonymsGhanaianGovernmentUnitary presidentialconstitutional republic•160President Nana AkufoAddo•160VicePresident Mahamudu Bawumia•160Speaker of Parliament Alban Sumana Kingsford Bagbin•160Chief Justice Kwasi AninYeboah,P27,Backwards
Patrick E Ngowi,Tanzania,Tanzanian,Ngowi is a Tanzanian businessperson and public commentator,P27,Forwards
Rio Tinto Alcan Planetarium,Montreal,Montreal,The Rio Tinto Alcan Planetarium French Planétarium Rio Tinto Alcan is the successor to the Montreal Planetarium and is located in the Espace pour la Vie near the Olympic Stadium and the Biodome in Montreal Quebec Canada,P131,Forwards
Norway,European Economic Area,European Economic Area,Norway is also a founding member of the United Nations NATO the European Free Trade Association the Council of Europe the Antarctic Treaty and the Nordic Council a member of the European Economic Area the WTO and the OECD and a part of the Schengen Area,P527,Backwards
China,Shanghai,Shanghai,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Sobey School of Business,Canada,Canada,The Sobey School of Business is the business school of Saint Marys University SMU located in Halifax Nova Scotia Canada,P17,Forwards
Rio de Janeiro,Rio de Janeiro state,state of Rio de Janeiro,Rio de Janeiro is the capital of the state of Rio de Janeiro Brazils thirdmost populous state after São Paulo and Minas Gerais,P150,Backwards
Ivory Coast,Liberia,Liberia,It borders Guinea to the northwest Liberia to the west Mali to the northwest Burkina Faso to the northeast Ghana to the east and the Gulf of Guinea Atlantic Ocean to the south,P47,Backwards
Czech Republic,European Union,European Union,    Motto160Pravda vítězí160CzechTruth prevailsAnthem160Kde domov můj160160CzechWhere is my home160aLocation of160the160Czech Republic160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityPrague50°05′N 14°28′Exfeff  xfeff50083°N 14467°Exfeff  50083 14467Official languageCzechmwparseroutput noboldfontweightnormalOfficially recognized languages ,P463,Forwards
West Africa,Ivory Coast,Ivory Coast,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P361,Backwards
Metro Manila,Navotas,Navotas,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Ivory Coast,Ghana,Ghana,It borders Guinea to the northwest Liberia to the west Mali to the northwest Burkina Faso to the northeast Ghana to the east and the Gulf of Guinea Atlantic Ocean to the south,P47,Backwards
Magdalena Department,Colombia,Colombia,Magdalena Spanish pronunciation160maɣðaˈlena is a department of Colombia with more than 13 million people located to the north of the country by the Caribbean Sea,P17,Forwards
Climate Change Act 2008,United Kingdom,United Kingdom, The Act aims to enable the United Kingdom to become a lowcarbon economy and gives ministers powers to introduce the measures necessary to achieve a range of greenhouse gas reduction targets,P17,Forwards
Angola,Democratic Republic of the Congo,Democratic Republic of the Congo,It is the secondlargest lusophone Portuguesespeaking country in both total area and population behind Brazil and it is the seventhlargest country in Africa bordered by Namibia to the south the Democratic Republic of the Congo to the north Zambia to the east and the Atlantic Ocean to the west,P47,Forwards
Kaluki Paul Mutuku,Kenya,Kenyan,Kaluki Paul Mutuku born March 4 1993 is a Kenyan climate activist and environmental defender fighting to improve youth participation in decisionmaking around climate justice,P27,Forwards
Navotas,Metro Manila,National Capital Region,Navotas officially the City of Navotas Tagalog Lungsod ng Navotas is a 1st class highly urbanized city in the National Capital Region of the Philippines,P150,Backwards
Alaska,British Columbia,British Columbia,A semiexclave of the US it borders the Canadian province of British Columbia and territory of Yukon to the east and has a maritime border with Russias Chukotka Autonomous Okrug to the west just across the Bering Strait,P47,Backwards
European Economic Area,Norway,Norway,Membership has grown to 30 states as of 2020 27 EU member states as well as three of the four member states of the EFTA Iceland Liechtenstein and Norway,P463,Backwards
MIKTA,South Korea,South Korea,MIKTA is an informal middle power partnership between Mexico Indonesia South Korea Turkey and Australia,P361,Backwards
Earth,Biosphere,biosphere,Almost 8 billion humans live on Earth and depend on its biosphere and natural resources for their survival,P527,Forwards
Donald Kaberuka,Rwanda,Rwandan,Kaberuka born 5 October 1951 is a Rwandan economist and was the president of the African Development Bank from September 2005 until September 2015,P27,Forwards
Botswana,Namibia,Namibia,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P47,Backwards
Hungary,Croatia,Croatia,Spanning 93030 square kilometres 35920160sq160mi of the Carpathian Basin it is bordered by Slovakia to the north Ukraine to the northeast Romania to the east and southeast Serbia to the south Croatia and Slovenia to the southwest and Austria to the west,P47,Backwards
Republic of Ireland,European Union,European Union,Ireland is a member of the European Union and is a founding member of the Council of Europe and the OECD,P150,Backwards
Human rights in Tuvalu,Tuvalu,Tuvalu,Tuvalu is a small island nation in the South Pacific located North of Fiji and North West of Samoa,P17,Forwards
Ratanakiri Province,Cambodia,Cambodia,Ratanakiri or Ratanak Kiri Khmer រតនគិរី Reăktăknăkkĭri  ˌreə̯̆ʔtaʔˈnaʔkiˈriː is a province of northeast Cambodia,P17,Forwards
Arctic Ocean,World Ocean,World Ocean,It is also seen as the northernmost part of the allencompassing World Ocean,P527,Backwards
Caloocan,Quezon City,Quezon City,South Caloocan is bordered by Manila Quezon City Malabon Navotas and Valenzuela,P47,Backwards
UK Youth Parliament,United Kingdom,United Kingdom,The UK Youth Parliament UKYP is a youth organisation in the United Kingdom consisting of democratically elected members aged between 11 and 18,P17,Forwards
Muntinlupa,Philippines,Philippines,Muntinlupa officially the City of Muntinlupa Tagalog Lungsod ng Muntinlupa is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Organism,Prokaryote,prokaryote,An organism may be either a prokaryote or a eukaryote,P279,Backwards
Estonia,European Union,EU,LegislatureRiigikoguIndependence160from Russia and Soviet Union•160Autonomy 12 April 1917•160Declared 24 February 1918•160Recognised 2 February 1920•160Soviet occupation 1940–1991•160Restored 20 August 1991•160Joined the EU 1 May 2004,P150,Backwards
Aalborg University,Denmark,Danish,Aalborg University AAU is a Danish public university with campuses in Aalborg Esbjerg and Copenhagen founded in 1974,P17,Forwards
Life,Organism,organisms,One popular definition is that organisms are open systems that maintain homeostasis are composed of cells have a life cycle undergo metabolism can grow adapt to their environment respond to stimuli reproduce and evolve,P527,Forwards
Cameroon,Organisation of Islamic Cooperation,Organisation of Islamic Cooperation,It is a member state of the African Union the United Nations the Commonwealth of Nations NonAligned Movement and the Organisation of Islamic Cooperation,P463,Forwards
Navotas,Philippines,Philippines,Navotas officially the City of Navotas Tagalog Lungsod ng Navotas is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Wind power,Renewable energy,renewable energy,Wind power is a popular sustainable renewable energy source that has a much smaller impact on the environment compared to burning fossil fuels,P279,Forwards
Delhi,India,India,Delhi English ˈdɛli Hindi160ˈdɪlːiː Dillī Punjabi160ˈdɪlːiː Dillī Urdu160ˈdɛɦliː Dêhlī officially the National Capital Territory NCT of Delhi is a city and a union territory of India containing New Delhi the capital of India,P17,Forwards
Benxi,Liaoning,Liaoning,Benxi Chinese58 本溪 pinyin58 Běnxī is a prefecturelevel city located in the east of Liaoning province Peoples Republic of China southsoutheast of the provincial capital Shenyang,P131,Forwards
The Natural Step,Sweden,Sweden,The Natural Step is a nonprofit nongovernmental organisation founded in Sweden in 1989 by scientist KarlHenrik Robèrt,P17,Forwards
Cameroon,African Union,African Union,It is a member state of the African Union the United Nations the Commonwealth of Nations NonAligned Movement and the Organisation of Islamic Cooperation,P463,Forwards
Germany,Netherlands,Netherlands,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Wintergreen Studios,Canada,Canada,Wintergreen Studios is an environmental education and wilderness retreat centre located in South Frontenac Ontario Canada,P17,Forwards
Stockholm School of Economics,Sweden,Sweden,The Stockholm School of Economics SSE Swedish Handelshögskolan i Stockholm HHS is a private business school located in city district Vasastaden in the central part of Stockholm Sweden,P17,Forwards
Sustainable Development Goal 13,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 13 SDG 13 or Goal 13 is about climate action and is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P361,Forwards
India,Bangladesh,Bangladesh, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P530,Backwards
Sustainable Development Goal 15,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 15 SDG 15 or Global Goal 15 is about Life on land One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Protect restore and promote sustainable use of terrestrial ecosystems sustainably manage forests combat desertification and halt and reverse land degradation and halt biodiversity loss,P527,Backwards
Canada,United Kingdom,United Kingdom,LegislatureParliament•160Upper houseSenate•160Lower houseHouse of CommonsIndependence160from the United Kingdom•160Confederation July 1 1867•160Statute of Westminster December 11 1931•160Patriation April 17 1982,P530,Backwards
West Africa,Sierra Leone,Sierra Leone,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P361,Backwards
SustainableEnergy,Denmark,Denmark,SustainableEnergy was founded in 1975 based on a popular movement for renewable energy in Denmark with close relationship to the antinuclear movement OOA which had an immense popular backup,P17,Forwards
Estonia,Latvia,Latvia,It is bordered to the north by the Gulf of Finland across from Finland to the west by the Baltic Sea across from Sweden to the south by Latvia and to the east by Lake Peipus and Russia,P47,Backwards
Austria,Hungary,Hungary,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P530,Backwards
BBC News,United Kingdom,United Kingdom,However as with all major media outlets it has been accused of political bias from across the political spectrum both within the United Kingdom and abroad,P17,Forwards
International Union for Conservation of Nature,Gland Switzerland,Gland Switzerland,Its headquarters are in Gland Switzerland,P131,Forwards
Disneys Animal Kingdom,World Association of Zoos and Aquariums,World Association of Zoos and Aquariums,Disneys Animal Kingdom is accredited by the Association of Zoos and Aquariums and the World Association of Zoos and Aquariums which indicates they have met or exceeded the standards in education conservation and research,P463,Forwards
Svalbard,Norway,Norwegian,Svalbard ˈsvɑːlbɑːr SVAHLbar Urban East Norwegian160ˈsvɑ̂ːɫbɑr32listen previously known as Spitsbergen or Spitzbergen is a Norwegian archipelago in the Arctic Ocean,P131,Forwards
Senegal,Cape Verde,Cape Verde,Senegal also shares a maritime border with Cape Verde,P530,Backwards
Indian Ocean Commission,Madagascar,Madagascar,The Indian Ocean Commission French Commission de lOcéan Indien COI is an intergovernmental organisation that links African Indian Ocean nations Comoros Madagascar Mauritius Réunion an overseas region of France and Seychelles,P463,Backwards
Doughnut economic model,Education,education,The centre hole of the model depicts the proportion of people that lack access to lifes essentials healthcare education equity and so on while the crust represents the ecological ceilings planetary boundaries that life depends on and must not be overshot,P527,Forwards
Mercury in fish,Mercury element,Mercury,Mercury is known to bioaccumulate in humans so bioaccumulation in seafood carries over into human populations where it can result in mercury poisoning,P279,Forwards
Malawi,Tanzania,Tanzania,It is bordered by Zambia to the west Tanzania to the north and northeast and Mozambique to the east south and southwest,P47,Forwards
National park,Protected area,protected areas,However the Tobago Main Ridge Forest Reserve established in 1776 and the area surrounding Bogd Khan Uul Mountain 1778 are seen as the oldest legally protected areas predating Yellowstone by nearly a century,P279,Forwards
Philippines,United States,United States,LegislatureCongress•160Upper houseSenate•160Lower houseHouse of RepresentativesIndependence160from the United States•160Independence from Spain declared June 12 1898•160Spanish cession to the United States December 10 1898•160Independence from the United States granted July 4 1946,P530,Backwards
Pollution,Air pollution,air pollution,Major forms of pollution include air pollution light pollution litter noise pollution plastic pollution soil contamination radioactive contamination thermal pollution visual pollution and water pollution,P279,Backwards
Denmark,European Union,European Union,    AnthemsDer er et yndigt landEnglish There is a lovely countryKong Christian stod ved højen mast91N 193English King Christian stood by the lofty mastLocation of the Kingdom of Denmark green including Greenland the Faroe Islands circled and Denmark properLocation of160Denmark proper91N 293160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityCopenhagen55°43′N 12°34′Exfeff  xfeff55717°N 12567°Exfeff  55717 12567Official160languagesDanishRecognised regional160languagesFaroeseGreenlandicGerman91N 393Ethnic160groups ,P530,Forwards
South Africa,Botswana,Botswana,It is bounded to the south by 2798 kilometres 1739160mi of coastline of Southern Africa stretching along the South Atlantic and Indian Oceans to the north by the neighbouring countries of Namibia Botswana and Zimbabwe and to the east and northeast by Mozambique and Eswatini former Swaziland and it surrounds the enclaved country of Lesotho,P47,Forwards
Worldwatch Institute,Washington DC,Washington DC,The Worldwatch Institute was a globally focused environmental research organization based in Washington DC founded by a hrefwikiLesterRBrown titleLester R,P131,Forwards
Bardiya National Park,Nepal,Nepal,Bardiya National Park is a protected area in Nepal that was established in 1988 as Royal Bardia National Park,P17,Forwards
Namibia,Angola,Angola,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Backwards
Biodiversity loss,Extinction,extinction,Biodiversity loss includes the extinction of species worldwide as well as the local reduction or loss of species in a certain habitat resulting in a loss of biological diversity,P279,Forwards
Eberswalde University for Sustainable Development,Germany,Germany,The Eberswalde University for Sustainable Development German Hochschule für nachhaltige Entwicklung Eberswalde literally University for Sustainable Development abbreviated in German as HNE Eberswalde or HNEE is a Fachhochschule in Eberswalde Germany,P17,Forwards
United Kingdom,Northern Ireland,Northern Ireland,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P131,Backwards
Rachel Stevens,S Club 7,S Club 7,In November 2014 S Club 7 announced plans for an arena reunion tour titled Bring It All Back 2015 touring the UK in May 2015,P361,Forwards
Sugut River,Sabah,Sabah,The Sugut River Malay Sungai Sugut is a river in Sandakan Division northeastern Sabah of Malaysia,P131,Forwards
Mabel Lake Airport,Canada,Canada,Mabel Lake Airport TC LID CBF9 is located adjacent to Mabel Lake British Columbia Canada,P17,Forwards
Stascha Rohmer,Germany,Germany,Stascha Rohmer born June 29 June 1966 in Trier Germany is a German philosopher,P27,Forwards
Giam Siak KecilBukit Batu Bioreserve,Man and the Biosphere Programme,UNESCO Man and the Biosphere Reserve,It is a declared UNESCO Man and the Biosphere Reserve and supports a sustainable timber industry,P463,Forwards
Douglas Ranch Buckeye,Arizona,Arizona,Douglas Ranch is a proposed 33800acre 137160km2 community in Buckeye Arizona located 25 miles 40160km west of Phoenix Arizona United States,P131,Forwards
Germany,Austria,Austria,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Forwards
Soil horizon,Soil,soil,A soil horizon is a layer parallel to the soil surface whose physical chemical and biological characteristics differ from the layers above and beneath,P527,Backwards
Sweden,Finland,Finland,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P530,Forwards
Asia,Earth,Earth,Asia ˈeɪʒə ˈeɪʃə32listen is Earths largest and most populous continent located primarily in the Eastern and Northern Hemispheres,P361,Forwards
Arctic Ocean,World Ocean,World Ocean,It is also seen as the northernmost part of the allencompassing World Ocean,P361,Forwards
Quebec,Ontario,Ontario,Located in Central Canada the province shares land borders with Ontario to the southwest Newfoundland and Labrador to the northeast New Brunswick to the southeast and a coastal border with Nunavut it also borders the a hrefwikiUSstate titleUS,P47,Backwards
Germany,United Nations,United Nations,Germany is a member of the United Nations NATO the G7 the G20 and the OECD,P463,Forwards
Albert Bandura,Canada,Canadian,Albert Bandura OC bænˈdʊərə born December 4 1925 is a CanadianAmerican psychologist who is the David Starr Jordan Professor Emeritus of Social Science in Psychology at Stanford University,P27,Forwards
Botswana,Namibia,Namibia,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P530,Forwards
Sweden,European Union,European Union,This is not however to be confused with migrants national backgrounds which are recorded  Since 3 September 1967  The eu domain is also used as it is shared with other European Union member states,P527,Backwards
Heather Savory,United Kingdom,British,Heather Jane Savory born 1963 is a British former chair of the Chair of the Open Data User Group,P27,Forwards
United Kingdom,England,England,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P150,Forwards
Gabbs Airport,United States,United States,Gabbs Airport IATA GAB ICAO KGAB FAA LID GAB is a countyowned publicuse airport located four nautical miles 7160km northwest of the central business district of Gabbs a city in Nye County Nevada United States,P17,Forwards
United Nations Conference on Sustainable Development,Brazil,Brazil,Hosted by Brazil in Rio de Janeiro from 13 to 22 June 2012 Rio20 was a 20year followup to the 1992 United Nations Conference on Environment and Development UNCED held in the same city and the 10th anniversary of the 2002 World Summit on Sustainable Development WSSD in Johannesburg,P17,Forwards
South Africa,Namibia,Namibia,It is bounded to the south by 2798 kilometres 1739160mi of coastline of Southern Africa stretching along the South Atlantic and Indian Oceans to the north by the neighbouring countries of Namibia Botswana and Zimbabwe and to the east and northeast by Mozambique and Eswatini former Swaziland and it surrounds the enclaved country of Lesotho,P47,Forwards
India,Nepal,Nepal, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P47,Forwards
Croatia,European Union,European Union,LegislatureCroatian ParliamentEstablishment•160Duchy 9th century•160Kingdom 925•160Croatia in personal union with Hungary 1102•160Joined Habsburg Monarchy 1 January 1527•160Secession fromAustriaHungary 29 October 1918•160Creation of Yugoslavia 4 December 1918•160Declaration of independence 25 June 19•160Erdut Agreement 12 November 1995•160Joined the European Union 1 July 2013,P527,Backwards
Leopold Kohr,Austria,Austria,Leopold Kohr 5 October 1909 in Oberndorf bei Salzburg Austria – 26 February 1994 in Gloucester England was an economist jurist and political scientist known both for his opposition to the cult of bigness in social organization and as one of those who inspired the Small Is Beautiful movement,P27,Forwards
Sweden,European Union,European Union,At 450295 square kilometres 173860160sq160mi Sweden is the largest country in Northern Europe the thirdlargest country in the European Union and the fifth largest country in Europe,P527,Backwards
ENGO,Nongovernmental organization,nongovernmental organization,An ENGO environmental nongovernmental organization is a nongovernmental organization NGO in the field of environmentalism,P279,Forwards
Metro Manila,Pasig,Pasig,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P150,Forwards
Zanzibar,Tanzania,Tanzania,Zanzibar ˈzænzɪbɑːr Swahili Zanzibar Arabic زِنْجِبَار8206 romanized160Zinjibār is an insular autonomous region of Tanzania,P131,Forwards
Tetsuko Kuroyanagi,Japan,Japanese,Tetsuko Kuroyanagi 黒柳 徹子 Kuroyanagi Tetsuko born August 9 1933 is a Japanese actress voice actress tarento World Wide Fund for Nature advisor and Goodwill Ambassador for UNICEF,P27,Forwards
Atlantic Ocean,World Ocean,World Ocean,As one component of the interconnected World Ocean it is connected in the north to the Arctic Ocean to the Pacific Ocean in the southwest the Indian Ocean in the southeast and the Southern Ocean in the south other definitions describe the Atlantic as extending southward to Antarctica,P527,Backwards
Senegal,Mauritania,Mauritania,Senegal is bordered by Mauritania in the north Mali to the east Guinea to the southeast and GuineaBissau to the southwest,P530,Backwards
India,China,China, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P530,Backwards
Pasay,Metro Manila,National Capital Region,Pasay officially the City of Pasay Tagalog Lungsod ng Pasay IPA160pɐsaɪ is a 1st class highly urbanized city in the National Capital Region of the Philippines,P150,Backwards
Nova Scotia,Canada,Canada,Nova Scotia ˌnoʊvə ˈskoʊʃə NOHvə SKOHshə Scottish Gaelic Alba Nuadh French NouvelleÉcosse is one of the thirteen provinces and territories of Canada,P131,Forwards
Uganda,Tanzania,Tanzania,It is bordered to the east by Kenya to the north by South Sudan to the west by the Democratic Republic of the Congo to the southwest by Rwanda and to the south by Tanzania,P47,Forwards
Kalahari Desert,Botswana,Botswana,The Kalahari Desert is a large semiarid sandy savannah in Southern Africa extending for 900000 square kilometres 350000160sq160mi covering much of Botswana and parts of Namibia and South Africa,P17,Forwards
Enzyme,Protein,proteins,Enzymes ˈɛnzaɪmz are proteins that act as biological catalysts biocatalysts,P279,Forwards
Tanzania,Rwanda,Rwanda,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P47,Backwards
Moncton,Dieppe New Brunswick,Dieppe,The CMA includes the neighbouring city of Dieppe and the town of Riverview as well as adjacent suburban areas in Westmorland and Albert counties,P47,Backwards
Wang Jie composer,United States,United States,Her work has been performed across the United States Asia and Europe,P27,Forwards
Namibia,Angola,Angola,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P530,Backwards
S Club 7,Paul Cattermole,Paul Cattermole,S Club 7 were a British pop group from London in 1998 created by former Spice Girls manager Simon Fuller consisting of members Bradley McIntosh Hannah Spearritt Jo OMeara Jon Lee Paul Cattermole Rachel Stevens and Tina Barrett,P527,Forwards
Jigme Singye Wangchuck,Bhutan,Bhutan,Jigme Singye Wangchuck Dzongkha འཇིགས་མེད་སེང་གེ་དབང་ཕྱུག་ Wylie jigs med seng ge dbang pyug born 11 November 1955 is a member of the House of Wangchuck who was the king of Bhutan Druk Gyalpo from 1972 until his abdication in favour of his eldest son Jigme Khesar Namgyel Wangchuck in 2006,P27,Forwards
Tropical timber,Wood,wood,Tropical timber may refer to any type of timber or wood that grows in tropical rainforests and tropical and subtropical moist broadleaf forests and is harvested there,P279,Forwards
Makati,Metro Manila,Metro Manila,Makati is also known for being a major cultural and entertainment hub in Metro Manila,P150,Backwards
Songdo International Business District,Incheon,Incheon,Songdo International Business District Songdo IBD is a smart city  or ubiquitous city built from scratch on 600 hectares 1500 acres of reclaimed land along Incheons waterfront 30 kilometres 19160mi southwest of Seoul South Korea and connected to Incheon International Airport by a 123kilometre 76160mi reinforced concrete highway bridge called Incheon Bridge,P131,Forwards
Austria,Czech Republic,Czech Republic,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P47,Forwards
Cape Verde,United States,United States,A sizable Cape Verdean diaspora community exists across the world especially in the United States and Portugal and considerably outnumbering inhabitants on the islands,P530,Forwards
Namibia,South Africa,South Africa,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Backwards
China,United Nations,United Nations,Both the PRC and the ROC currently claim to be the sole legitimate government of China resulting in an ongoing dispute even after the United Nations recognized the PRC as the government to represent China at all UN conferences in 1971,P463,Forwards
